Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel Atom® Processor P5731 (13.5M Cache, 2.2GHz)",Q2'22,12,,2.20 GHz,13.5 MB,54.5 W,,
"Intel Atom® Processor P5362 (27M Cache, 2.2GHz)",Q2'22,24,,2.20 GHz,27 MB,83 W,,
"Intel Atom® Processor P5352 (22.5M Cache, 2.2GHz)",Q2'22,20,,2.20 GHz,22.5 MB,78 W,,
"Intel Atom® Processor P5342 (18M Cache, 2.2GHz)",Q2'22,16,,2.20 GHz,18 MB,71 W,,
"Intel Atom® Processor P5332 (13.5M Cache, 2.2GHz)",Q2'22,12,,2.20 GHz,13.5 MB,61 W,,
"Intel Atom® Processor P5322 (9M Cache, 2.2GHz)",Q2'22,8,,2.20 GHz,9 MB,55 W,,
"Intel Atom® Processor P5742 (18M Cache, 2.2GHz)",Q2'22,16,,2.20 GHz,18 MB,67 W,,
"Intel Atom® Processor P5721 (9M Cache, 2.2GHz)",Q2'22,8,,2.20 GHz,9 MB,48 W,,
"Intel Atom® Processor P5752 (22.5M Cache, 2.2GHz)",Q2'22,20,,2.20 GHz,22.5 MB,74.5 W,,
"Intel Atom® Processor P5942B (18M Cache, 2.20 GHz)",Q1'20,16,,2.20 GHz,18 MB L2 Cache,,,
"Intel Atom® Processor P5931B (13.5M Cache, 2.20 GHz)",Q1'20,12,,2.20 GHz,13.5 MB L2 Cache,,,
"Intel Atom® Processor P5962B (27M Cache, 2.20 GHz)",Q1'20,24,,2.20 GHz,27 MB L2 Cache,,,
"Intel Atom® Processor P5921B (9M Cache, 2.20 GHz)",Q1'20,8,,2.20 GHz,9 MB L2 Cache,,,
