Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel Atom® Processor C5315 (9M Cache, 2.4GHz)",Q2'22,4,,2.40 GHz,9 MB,38 W,,
"Intel Atom® Processor C5310 (9M Cache, 1.6GHz)",Q2'22,4,,1.60 GHz,9 MB,32 W,,
"Intel Atom® Processor C5125 (9M Cache, 2.8GHz)",Q2'22,8,,2.80 GHz,9 MB,50 W,,
"Intel Atom® Processor C5115 (9M Cache, 2.8GHz)",Q2'22,4,,2.80 GHz,9 MB,43 W,,
"Intel Atom® Processor C5325 (9M Cache, 2.4GHz)",Q2'22,8,,2.40 GHz,9 MB,41 W,,
"Intel Atom® Processor C5320 (9M Cache, 2.4GHz)",Q2'22,8,,2.40 GHz,9 MB,41 W,,
"Intel Atom® Processor C3436L (8M Cache, 1.30 GHz)",Q2'20,4,,1.30 GHz,8 MB,10.75 W,,
"Intel Atom® Processor C3338R (4M Cache, up to 2.20 GHz)",Q2'20,2,2.20 GHz,1.80 GHz,4 MB,10.5 W,,
"Intel Atom® Processor C3758R (16M Cache, 2.40 GHz)",Q2'20,8,,2.40 GHz,16 MB,26 W,,
"Intel Atom® Processor C3558R (8M Cache, 2.40 GHz)",Q2'20,4,,2.40 GHz,8 MB,17 W,,
"Intel Atom® Processor C3336 (4M Cache, 1.50 GHz)",Q3'18,2,,1.50 GHz,4 MB,11 W,,
"Intel Atom® Processor C3708 (16M Cache, up to 1.70 GHz)",Q3'17,8,1.70 GHz,1.70 GHz,16 MB,17 W,,
"Intel Atom® Processor C3308 (4M Cache, up to 2.10 GHz)",Q3'17,2,2.10 GHz,1.60 GHz,4 MB,9.5 W,,
"Intel Atom® Processor C3858 (12M Cache, up to 2.0 GHz)",Q3'17,12,2.00 GHz,2.00 GHz,12 MB,25 W,,
"Intel Atom® Processor C3558 (8M Cache, up to 2.20 GHz)",Q3'17,4,2.20 GHz,2.20 GHz,8 MB,16 W,,
"Intel Atom® Processor C3758 (16M Cache, up to 2.20 GHz)",Q3'17,8,2.20 GHz,2.20 GHz,16 MB,25 W,,
"Intel Atom® Processor C3958 (16M Cache, up to 2.0 GHz)",Q3'17,16,2.00 GHz,2.00 GHz,16 MB,31 W,,
"Intel Atom® Processor C3538 (8M Cache, up to 2.10 GHz)",Q3'17,4,2.10 GHz,2.10 GHz,8 MB,15 W,,
"Intel Atom® Processor C3508 (8M Cache, up to 1.60 GHz)",Q3'17,4,1.60 GHz,1.60 GHz,8 MB,11.5 W,,
"Intel Atom® Processor C3830 (12M Cache, up to 2.30 GHz)",Q3'17,12,2.30 GHz,1.90 GHz,12 MB,21.5 W,,
"Intel Atom® Processor C3850 (12M Cache, up to 2.40 GHz)",Q3'17,12,2.40 GHz,2.10 GHz,12 MB,25 W,,
"Intel Atom® Processor C3955 (16M Cache, up to 2.40 GHz)",Q3'17,16,2.40 GHz,2.10 GHz,16 MB,32 W,,
"Intel Atom® Processor C3750 (16M Cache, up to 2.40 GHz)",Q3'17,8,2.40 GHz,2.20 GHz,16 MB,21 W,,
"Intel Atom® Processor C3808 (12M Cache, up to 2.0 GHz)",Q3'17,12,2.00 GHz,2.00 GHz,12 MB,25 W,,
"Intel Atom® Processor C3950 (16M Cache, up to 2.20 GHz)",Q3'17,16,2.20 GHz,1.70 GHz,16 MB,24 W,,
"Intel Atom® Processor C2316 (1M Cache, 1.50 GHz)",Q3'17,2,,1.50 GHz,1 MB,7 W,,
"Intel Atom® Processor C2516 (2M Cache, 1.40 GHz)",Q3'17,4,,1.40 GHz,2 MB,10 W,,
"Intel Atom® Processor C3338 (4M Cache, up to 2.20 GHz)",Q1'17,2,2.20 GHz,1.50 GHz,4 MB,8.5 W,,
"Intel Atom® Processor C2508 (2M Cache, 1.25 GHz)",Q2'14,4,,1.25 GHz,2 MB,9.5 W,,
"Intel Atom® Processor C2308 (1M Cache, 1.25 GHz)",Q2'14,2,,1.25 GHz,1 MB,6 W,,
"Intel Atom® Processor C2750 (4M Cache, 2.40 GHz)",Q3'13,8,2.60 GHz,2.40 GHz,4 MB,20 W,,
"Intel Atom® Processor C2758 (4M Cache, 2.40 GHz)",Q3'13,8,,2.40 GHz,4 MB,20 W,,
"Intel Atom® Processor C2518 (2M Cache, 1.70 GHz)",Q3'13,4,,1.70 GHz,2 MB,13 W,,
"Intel Atom® Processor C2530 (2M Cache, 1.70 GHz)",Q3'13,4,2.40 GHz,1.70 GHz,2 MB,9 W,,
"Intel Atom® Processor C2538 (2M Cache, 2.40 GHz)",Q3'13,4,,2.40 GHz,2 MB,15 W,,
"Intel Atom® Processor C2550 (2M Cache, 2.40 GHz)",Q3'13,4,2.60 GHz,2.40 GHz,2 MB,14 W,,
"Intel Atom® Processor C2338 (1M Cache, 1.70 GHz)",Q3'13,2,2.00 GHz,1.70 GHz,1 MB,7 W,,
"Intel Atom® Processor C2350 (1M Cache, 1.70 GHz)",Q3'13,2,2.00 GHz,1.70 GHz,1 MB,6 W,,
"Intel Atom® Processor C2358 (1M Cache, 1.70 GHz)",Q3'13,2,2.00 GHz,1.70 GHz,1 MB,7 W,,
"Intel Atom® Processor C2558 (2M Cache, 2.40 GHz)",Q3'13,4,,2.40 GHz,2 MB,15 W,,
"Intel Atom® Processor C2718 (4M Cache, 2.00 GHz)",Q3'13,8,,2.00 GHz,4 MB,18 W,,
"Intel Atom® Processor C2730 (4M Cache, 1.70 GHz)",Q3'13,8,2.40 GHz,1.70 GHz,4 MB,12 W,,
"Intel Atom® Processor C2738 (4M Cache, 2.40 GHz)",Q3'13,8,,2.40 GHz,4 MB,20 W,,
