Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® D-2798NX Processor (30M Cache, up to 3.10 GHz)",Q3'22,20,3.10 GHz,2.10 GHz,30 MB,126 W,,Get a quote
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz)",Q3'22,16,3.30 GHz,2.20 GHz,25 MB,116 W,,Get a quote
"Intel® Xeon® D-2745NX Processor (17.5M Cache, up to 3.50 GHz)",Q3'22,10,3.50 GHz,2.40 GHz,17.5 MB,96 W,,Get a quote
"Intel® Xeon® D-2757NX Processor (20M Cache, up to 3.50 GHz)",Q3'22,12,3.50 GHz,2.50 GHz,20 MB,107 W,,Get a quote
"Intel® Xeon® D-2753NT Processor (20M Cache, up to 3.10 GHz)",Q1'22,12,3.10 GHz,2.00 GHz,20 MB,87 W,,Get a quote
"Intel® Xeon® D-2776NT Processor (25M Cache, up to 3.20 GHz)",Q1'22,16,3.20 GHz,2.10 GHz,25 MB,117 W,,Get a quote
"Intel® Xeon® D-1748TE Processor (15M Cache, up to 3.40 GHz)",Q1'22,10,3.40 GHz,2.30 GHz,15 MB,65 W,,Get a quote
"Intel® Xeon® D-2712T Processor (15M Cache, up to 3.00 GHz)",Q1'22,4,3.00 GHz,1.90 GHz,15 MB,65 W,,Get a quote
"Intel® Xeon® D-2733NT Processor (15M Cache, up to 3.20 GHz)",Q1'22,8,3.20 GHz,2.10 GHz,15 MB,80 W,,Get a quote
"Intel® Xeon® D-2738 Processor (15M Cache, up to 3.50 GHz)",Q1'22,8,3.50 GHz,2.50 GHz,15 MB,88 W,,Get a quote
"Intel® Xeon® D-1715TER Processor (10M Cache, up to 3.50 GHz)",Q1'22,4,3.50 GHz,2.40 GHz,10 MB,50 W,,Get a quote
"Intel® Xeon® D-1732TE Processor (15M Cache, up to 3.00 GHz)",Q1'22,8,3.00 GHz,1.90 GHz,15 MB,52 W,,Get a quote
