Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Gold 6423N Processor (52.5M Cache, 2.00 GHz)",Q3'23,28,3.60 GHz,2.00 GHz,52.5 MB,195 W,,Get a quote
"Intel® Xeon® Gold 6403N Processor (45M Cache, 2.00 GHz)",Q3'23,24,3.60 GHz,1.90 GHz,45 MB,185 W,,Get a quote
"Intel® Xeon® Gold 6443N Processor (60M Cache, 1.90 GHz)",Q3'23,32,3.60 GHz,2.00 GHz,60 MB,195 W,,Get a quote
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz)",Q3'23,32,3.60 GHz,2.00 GHz,60 MB,205 W,,Get a quote
"Intel® Xeon® Gold 6433NE Processor (60M Cache, 2.00 GHz)",Q3'23,32,3.60 GHz,2.00 GHz,60 MB,205 W,,Get a quote
"Intel® Xeon® Gold 6438N Processor (60M Cache, 2.00 GHz)",Q1'23,32,3.60 GHz,2.00 GHz,60 MB,205 W,,Get a quote
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz)",Q1'23,32,3.90 GHz,2.20 GHz,60 MB,205 W,,Get a quote
"Intel® Xeon® Gold 5433N Processor (37.5M Cache, 2.30 GHz)",Q1'23,20,4.10 GHz,2.30 GHz,37.5 MB,160 W,,Get a quote
"Intel® Xeon® Gold 5423N Processor (37.5M Cache, 2.10 GHz)",Q1'23,20,4.00 GHz,2.10 GHz,37.5 MB,145 W,,Get a quote
"Intel® Xeon® Gold 6416H Processor (45M Cache, 2.20 GHz)",Q1'23,18,4.20 GHz,2.20 GHz,45 MB,165 W,,Get a quote
"Intel® Xeon® Gold 6418H Processor (60M Cache, 2.10 GHz)",Q1'23,24,4.00 GHz,2.10 GHz,60 MB,185 W,,Get a quote
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz)",Q1'23,32,4.10 GHz,2.40 GHz,60 MB,250 W,,Get a quote
"Intel® Xeon® Gold 5418N Processor (45M Cache, 1.80 GHz)",Q1'23,24,3.80 GHz,1.80 GHz,45 MB,165 W,,Get a quote
