Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Platinum 8452Y Processor (67.5M Cache, 2.00 GHz)",Q1'23,36,3.20 GHz,2.00 GHz,67.5 MB,300 W,,Get a quote
"Intel® Xeon® Platinum 8462Y+ Processor (60M Cache, 2.80 GHz)",Q1'23,32,4.10 GHz,2.80 GHz,60 MB,300 W,,Get a quote
"Intel® Xeon® Platinum 8470N Processor (97.5M Cache, 1.70 GHz)",Q1'23,52,3.60 GHz,1.70 GHz,97.5 MB,300 W,,Get a quote
"Intel® Xeon® Platinum 8444H Processor (45M Cache, 2.90 GHz)",Q1'23,16,4.00 GHz,2.90 GHz,45 MB,270 W,,Get a quote
"Intel® Xeon® Platinum 8468H Processor (105M Cache, 2.10 GHz)",Q1'23,48,3.80 GHz,2.10 GHz,105 MB,330 W,,Get a quote
"Intel® Xeon® Platinum 8450H Processor (75M Cache, 2.00 GHz)",Q1'23,28,3.50 GHz,2.00 GHz,75 MB,250 W,,Get a quote
"Intel® Xeon® Platinum 8454H Processor (82.5M Cache, 2.10 GHz)",Q1'23,32,3.40 GHz,2.10 GHz,82.5 MB,270 W,,Get a quote
"Intel® Xeon® Platinum 8468V Processor (97.5M Cache, 2.40 GHz)",Q1'23,48,3.80 GHz,2.40 GHz,97.5 MB,330 W,,Get a quote
"Intel® Xeon® Platinum 8461V Processor (97.5M Cache, 2.20 GHz)",Q1'23,48,3.70 GHz,2.20 GHz,97.5 MB,300 W,,Get a quote
"Intel® Xeon® Platinum 8458P Processor (82.5M Cache, 2.70 GHz)",Q1'23,44,3.80 GHz,2.70 GHz,82.5 MB,350 W,,Get a quote
"Intel® Xeon® Platinum 8460H Processor (105M Cache, 2.20 GHz)",Q1'23,40,3.80 GHz,2.20 GHz,105 MB,330 W,,Get a quote
"Intel® Xeon® Platinum 8471N Processor (97.5M Cache, 1.80 GHz)",Q1'23,52,3.60 GHz,1.80 GHz,97.5 MB,300 W,,Get a quote
"Intel® Xeon® Platinum 8480+ Processor (105M Cache, 2.00 GHz)",Q1'23,56,3.80 GHz,2.00 GHz,105 MB,350 W,,Get a quote
"Intel® Xeon® Platinum 8490H Processor (112.5M Cache, 1.90 GHz)",Q1'23,60,3.50 GHz,1.90 GHz,112.5 MB,350 W,,Get a quote
"Intel® Xeon® Platinum 8470Q Processor (105M Cache, 2.10 GHz)",Q1'23,52,3.80 GHz,2.10 GHz,105 MB,350 W,,Get a quote
"Intel® Xeon® Platinum 8470 Processor (105M Cache, 2.00 GHz)",Q1'23,52,3.80 GHz,2.00 GHz,105 MB,350 W,,Get a quote
"Intel® Xeon® Platinum 8468 Processor (105M Cache, 2.10 GHz)",Q1'23,48,3.80 GHz,2.10 GHz,105 MB,350 W,,Get a quote
"Intel® Xeon® Platinum 8460Y+ Processor (105M Cache, 2.00 GHz)",Q1'23,40,3.70 GHz,2.00 GHz,105 MB,300 W,,Get a quote
"Intel® Xeon® Platinum 8358 Processor (48M Cache, 2.60 GHz)",Q2'21,32,3.40 GHz,2.60 GHz,48 MB,250 W,,Get a quote
"Intel® Xeon® Platinum 8352Y Processor (48M Cache, 2.20 GHz)",Q2'21,32,3.40 GHz,2.20 GHz,48 MB,205 W,,Get a quote
"Intel® Xeon® Platinum 8380 Processor (60M Cache, 2.30 GHz)",Q2'21,40,3.40 GHz,2.30 GHz,60 MB,270 W,,Get a quote
"Intel® Xeon® Platinum 8351N Processor (54M Cache, 2.40 GHz)",Q2'21,36,3.50 GHz,2.40 GHz,54 MB,225 W,,Get a quote
"Intel® Xeon® Platinum 8368Q Processor (57M Cache, 2.60 GHz)",Q2'21,38,3.70 GHz,2.60 GHz,57 MB,270 W,,Get a quote
"Intel® Xeon® Platinum 8352S Processor (48M Cache, 2.20 GHz)",Q2'21,32,3.40 GHz,2.20 GHz,48 MB,205 W,,Get a quote
"Intel® Xeon® Platinum 8358P Processor (48M Cache, 2.60 GHz)",Q2'21,32,3.40 GHz,2.60 GHz,48 MB,240 W,,Get a quote
"Intel® Xeon® Platinum 8352V Processor (54M Cache, 2.10 GHz)",Q2'21,36,3.50 GHz,2.10 GHz,54 MB,195 W,,Get a quote
"Intel® Xeon® Platinum 8368 Processor (57M Cache, 2.40 GHz)",Q2'21,38,3.40 GHz,2.40 GHz,57 MB,270 W,,Get a quote
"Intel® Xeon® Platinum 8360Y Processor (54M Cache, 2.40 GHz)",Q2'21,36,3.50 GHz,2.40 GHz,54 MB,250 W,,Get a quote
"Intel® Xeon® Platinum 8352M Processor (48M Cache, 2.30 GHz)",Q2'21,32,3.50 GHz,2.30 GHz,48 MB,185 W,,Get a quote
"Intel® Xeon® Platinum 8362 Processor (48M Cache, 2.80 GHz)",Q2'21,32,3.60 GHz,2.80 GHz,48 MB,265 W,,Get a quote
"Intel® Xeon® Platinum 8360H Processor (33M Cache, 3.00 GHz)",Q3'20,24,4.20 GHz,3.00 GHz,33 MB,225 W,,Get a quote
"Intel® Xeon® Platinum 8356H Processor (35.75M Cache, 3.90 GHz)",Q3'20,8,4.40 GHz,3.90 GHz,35.75 MB,190 W,,Get a quote
