Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz)",Q1'23,12,3.90 GHz,2.00 GHz,30 MB,150 W,,Get a quote
"Intel® Xeon® Silver 4416+ Processor (37.5M Cache, 2.00 GHz)",Q1'23,20,3.90 GHz,2.00 GHz,37.5 MB,165 W,,Get a quote
"Intel® Xeon® Silver 4410T Processor (26.25M Cache, 2.70 GHz)",Q1'23,10,4.00 GHz,2.70 GHz,26.25 MB,150 W,,Get a quote
"Intel® Xeon® Silver 4314 Processor (24M Cache, 2.40 GHz)",Q2'21,16,3.40 GHz,2.40 GHz,24 MB,135 W,,Get a quote
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz)",Q2'21,20,3.40 GHz,2.30 GHz,30 MB,150 W,,Get a quote
"Intel® Xeon® Silver 4309Y Processor (12M Cache, 2.80 GHz)",Q2'21,8,3.60 GHz,2.80 GHz,12 MB,105 W,,Get a quote
"Intel® Xeon® Silver 4310 Processor (18M Cache, 2.10 GHz)",Q2'21,12,3.30 GHz,2.10 GHz,18 MB,120 W,,Get a quote
"Intel® Xeon® Silver 4310T Processor (15M Cache, 2.30 GHz)",Q2'21,10,3.40 GHz,2.30 GHz,15 MB,105 W,,Get a quote
"Intel® Xeon® Silver 4210R Processor (13.75M Cache, 2.40 GHz)",Q1'20,10,3.20 GHz,2.40 GHz,13.75 MB,100 W,,Get a quote
"Intel® Xeon® Silver 4214R Processor (16.5M Cache, 2.40 GHz)",Q1'20,12,3.50 GHz,2.40 GHz,16.5 MB,100 W,,Get a quote
"Intel® Xeon® Silver 4210T Processor (13.75M Cache, 2.30 GHz)",Q1'20,10,3.20 GHz,2.30 GHz,13.75 MB,95 W,,Get a quote
"Intel® Xeon® Silver 4215R Processor (11M Cache, 3.20 GHz)",Q1'20,8,4.00 GHz,3.20 GHz,11 MB,130 W,,Get a quote
"Intel® Xeon® Silver 4209T Processor (11M Cache, 2.20 GHz)",Q2'19,8,3.20 GHz,2.20 GHz,11 MB,70 W,,Get a quote
"Intel® Xeon® Silver 4210 Processor (13.75M Cache, 2.20 GHz)",Q2'19,10,3.20 GHz,2.20 GHz,13.75 MB,85 W,,Get a quote
"Intel® Xeon® Silver 4214 Processor (16.5M Cache, 2.20 GHz)",Q2'19,12,3.20 GHz,2.20 GHz,16.5 MB,85 W,,Get a quote
"Intel® Xeon® Silver 4215 Processor (11M Cache, 2.50 GHz)",Q2'19,8,3.50 GHz,2.50 GHz,11 MB,85 W,,Get a quote
"Intel® Xeon® Silver 4208 Processor (11M Cache, 2.10 GHz)",Q2'19,8,3.20 GHz,2.10 GHz,11 MB,85 W,,Get a quote
"Intel® Xeon® Silver 4216 Processor (22M Cache, 2.10 GHz)",Q2'19,16,3.20 GHz,2.10 GHz,22 MB,100 W,,Get a quote
"Intel® Xeon® Silver 4214Y Processor (16.5M Cache, 2.20 GHz)",Q2'19,12,3.20 GHz,2.20 GHz,16.5 MB,85 W,,Get a quote
"Intel® Xeon® Silver 4116 Processor (16.5M Cache, 2.10 GHz)",Q3'17,12,3.00 GHz,2.10 GHz,16.5 MB L3 Cache,85 W,,Get a quote
"Intel® Xeon® Silver 4108 Processor (11M Cache, 1.80 GHz)",Q3'17,8,3.00 GHz,1.80 GHz,11 MB L3 Cache,85 W,,Get a quote
"Intel® Xeon® Silver 4110 Processor (11M Cache, 2.10 GHz)",Q3'17,8,3.00 GHz,2.10 GHz,11 MB L3 Cache,85 W,,Get a quote
"Intel® Xeon® Silver 4109T Processor (11M Cache, 2.00 GHz)",Q3'17,8,3.00 GHz,2.00 GHz,11 MB L3 Cache,70 W,,Get a quote
"Intel® Xeon® Silver 4114 Processor (13.75M Cache, 2.20 GHz)",Q3'17,10,3.00 GHz,2.20 GHz,13.75 MB L3 Cache,85 W,,Get a quote
"Intel® Xeon® Silver 4112 Processor (8.25M Cache, 2.60 GHz)",Q3'17,4,3.00 GHz,2.60 GHz,8.25 MB L3 Cache,85 W,,Get a quote
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz)",Q3'17,10,3.00 GHz,2.20 GHz,13.75 MB L3 Cache,85 W,,Get a quote
"Intel® Xeon® Silver 4116T Processor (16.5M cache, 2.10 GHz)",Q3'17,12,3.00 GHz,2.10 GHz,16.5 MB L3 Cache,85 W,,Get a quote
