Product Name,Launch Date,# of Cores,Max Turbo Frequency,Processor Base Frequency,Cache,TDP,Processor Graphics ‡,Price
"Intel® Xeon® CPU Max 9480 Processor (112.5M Cache, 1.90 GHz)",Q1'23,56,3.50 GHz,1.90 GHz,112.5 MB,350 W,,
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz)",Q3'23,32,3.60 GHz,2.00 GHz,60 MB,205 W,,
"Intel® Xeon® Gold 6433NE Processor (60M Cache, 2.00 GHz)",Q3'23,32,3.60 GHz,2.00 GHz,60 MB,205 W,,
"Intel® Xeon® Gold 6423N Processor (52.5M Cache, 2.00 GHz)",Q3'23,28,3.60 GHz,2.00 GHz,52.5 MB,195 W,,
"Intel® Xeon® Gold 6403N Processor (45M Cache, 2.00 GHz)",Q3'23,24,3.60 GHz,1.90 GHz,45 MB,185 W,,
"Intel® Xeon® Gold 6443N Processor (60M Cache, 1.90 GHz)",Q3'23,32,3.60 GHz,2.00 GHz,60 MB,195 W,,
"Intel® Xeon® Platinum 8470N Processor (97.5M Cache, 1.70 GHz)",Q1'23,52,3.60 GHz,1.70 GHz,97.5 MB,300 W,,
"Intel® Xeon® Platinum 8452Y Processor (67.5M Cache, 2.00 GHz)",Q1'23,36,3.20 GHz,2.00 GHz,67.5 MB,300 W,,
"Intel® Xeon® Platinum 8470 Processor (105M Cache, 2.00 GHz)",Q1'23,52,3.80 GHz,2.00 GHz,105 MB,350 W,,
"Intel® Xeon® Platinum 8471N Processor (97.5M Cache, 1.80 GHz)",Q1'23,52,3.60 GHz,1.80 GHz,97.5 MB,300 W,,
"Intel® Xeon® Platinum 8462Y+ Processor (60M Cache, 2.80 GHz)",Q1'23,32,4.10 GHz,2.80 GHz,60 MB,300 W,,
"Intel® Xeon® Gold 5420+ Processor (52.5M Cache, 2.00 GHz)",Q1'23,28,4.10 GHz,2.00 GHz,52.5 MB,205 W,,Find systems
"Intel® Xeon® Gold 6448Y Processor (60M Cache, 2.10 GHz)",Q1'23,32,4.10 GHz,2.10 GHz,60 MB,225 W,,
"Intel® Xeon® Gold 5415+ Processor (22.5M Cache, 2.90 GHz)",Q1'23,8,4.10 GHz,2.90 GHz,22.5 MB,150 W,,
"Intel® Xeon® Gold 5423N Processor (37.5M Cache, 2.10 GHz)",Q1'23,20,4.00 GHz,2.10 GHz,37.5 MB,145 W,,
"Intel® Xeon® Gold 6418H Processor (60M Cache, 2.10 GHz)",Q1'23,24,4.00 GHz,2.10 GHz,60 MB,185 W,,
"Intel® Xeon® Gold 5418N Processor (45M Cache, 1.80 GHz)",Q1'23,24,3.80 GHz,1.80 GHz,45 MB,165 W,,
